wav_file,stim_number,word_end,non_word,phoneme_pair,morph_n,base,file_format,root,word_side,item_left,item_right,resampled,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_7.started,text_7.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,text_6.started,text_6.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,audio_word.started,audio_word.stopped,photodiode.started,photodiode.stopped,slider.response,slider.rt,slider.started,slider.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,Subject ID,TDT Block,block_type,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,8.007016165996902,None,space,1.2095067529953667,8.007016165996902,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECXXX,BXX,1,2021_Apr_21_1258,sequence,2020.2.9,60.153777475345535,
,,,,,,,,,,,,,,,,,,,,,,,9.258351307995326,None,2.0300000000000002,0.8010160639969399,9.258351307995326,None,10.05770275699615,None,space,0.405763028000365,10.05770275699615,None,,,,,,,,,,,,,,,,,,ECXXX,BXX,1,2021_Apr_21_1258,sequence,2020.2.9,60.153777475345535,
stimuli/35_beneficial_pb_008.wav,35,beneficial,peneficial,pb,8,35_beneficial_pb_008,wav,stimuli/,right,peneficial,beneficial,3,0,0,0,16,,,,,,,,,,,,,,,,,,,10.507983871598846,None,11.724364556001092,None,1,1.0381837310051196,11.724364556001092,None,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.013333333333333334, -0.035555555555555556, -0.06666666666666667, -0.1322222222222222, -0.20222222222222222, -0.27111111111111114, -0.3244444444444444, -0.35, -0.37777777777777777, -0.3933333333333333, -0.4, -0.4022222222222222, -0.4033333333333333, -0.40444444444444444, -0.40444444444444444, -0.4077777777777778, -0.41, -0.4122222222222222, -0.41333333333333333, -0.41444444444444445, -0.41444444444444445, -0.41444444444444445, -0.41444444444444445, -0.41444444444444445, -0.41444444444444445, -0.41444444444444445, -0.41444444444444445, -0.41444444444444445, -0.41444444444444445]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0022222222222222222, 0.006666666666666667, 0.012222222222222223, 0.014444444444444444, 0.015555555555555555, 0.015555555555555555, 0.016666666666666666, 0.016666666666666666, 0.016666666666666666, 0.016666666666666666, 0.016666666666666666, 0.016666666666666666, 0.016666666666666666, 0.016666666666666666, 0.016666666666666666, 0.016666666666666666, 0.016666666666666666, 0.016666666666666666, 0.016666666666666666, 0.016666666666666666, 0.016666666666666666, 0.016666666666666666, 0.016666666666666666, 0.016666666666666666, 0.016666666666666666, 0.016666666666666666]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00033251699642278254, 0.016766944994742516, 0.033547457998793107, 0.05073043499578489, 0.06704859599994961, 0.08426918699842645, 0.10046318599779624, 0.11721367199788801, 0.13407272699987516, 0.15067001999705099, 0.16730699699837714, 0.18477457599510672, 0.20049194999592146, 0.21810940299474169, 0.23472478199983016, 0.2504445329977898, 0.267415351998352, 0.28480247400148073, 0.3006649179951637, 0.3180996149967541, 0.33403283300140174, 0.3511294400013867, 0.36673363499721745, 0.3832615479986998, 0.40058886299812, 0.4174552760014194, 0.4343320909974864, 0.4508716709970031, 0.466950859001372, 0.4840764459950151, 0.5015828429968678, 0.5173269180013449, 0.5344405270006973, 0.5495936389997951, 0.5677490129965008, 0.585648925996793, 0.6001735210011248, 0.6178798289984115, 0.6341447640006663, 0.6505447149975225, 0.6682870000004186, 0.6843993549991865, 0.7008719149962417, 0.7174947499952395, 0.7334050270001171, 0.7505504299988388, 0.7672272139971028, 0.7839578720013378, 0.8015189239959, 0.8176187689969083, 0.8338585530000273, 0.8517486970013124, 0.8678304339991882, 0.8844315809983527, 0.901326095998229, 0.916523285995936, 0.9335974529967643, 0.9517121719982242, 0.9666096910004853, 0.9840303079981823, 1.000103764999949, 1.01673493799899, 1.0342826229971251, 1.050813089001167]",[],0.0008416088021476753,None,ECXXX,BXX,1,2021_Apr_21_1258,sequence,2020.2.9,60.153777475345535,
stimuli/35_penecillin_pb_007.wav,35,penecillin,benecillin,pb,7,35_penecillin_pb_007,wav,stimuli/,right,benecillin,penecillin,2,0,1,1,15,,,,,,,,,,,,,,,,,,,12.77499503079962,None,13.991561784001533,None,9.5625,1.042897612998786,13.991561784001533,None,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.03222222222222222, 0.08444444444444445, 0.13444444444444445, 0.1922222222222222, 0.23333333333333334, 0.25333333333333335, 0.27555555555555555, 0.29, 0.29888888888888887, 0.3111111111111111, 0.31666666666666665, 0.3244444444444444, 0.33111111111111113, 0.34, 0.3466666666666667, 0.35444444444444445, 0.35777777777777775, 0.35888888888888887, 0.36, 0.3611111111111111, 0.3611111111111111, 0.3611111111111111, 0.3611111111111111, 0.3611111111111111, 0.3611111111111111, 0.3611111111111111, 0.3611111111111111, 0.3611111111111111]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0022222222222222222, -0.0044444444444444444, -0.005555555555555556, -0.006666666666666667, -0.006666666666666667, -0.006666666666666667, -0.006666666666666667, -0.006666666666666667, -0.006666666666666667, -0.006666666666666667, -0.006666666666666667, -0.006666666666666667, -0.006666666666666667, -0.006666666666666667, -0.006666666666666667]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00045956500252941623, 0.024457888001052197, 0.04117600600147853, 0.05777795600442914, 0.07500945500214584, 0.09153562699793838, 0.10804211600043345, 0.12426671299908776, 0.1413612300020759, 0.1591492939987802, 0.1758901840003091, 0.19171568100136938, 0.20795532400370575, 0.22613742099929368, 0.2405092679982772, 0.25736776900157565, 0.27477178299886873, 0.29238965699914843, 0.3077949209982762, 0.32482684300339315, 0.3416895589980413, 0.35817774799943436, 0.37448132599820383, 0.39124618499772623, 0.408652213998721, 0.42450157499843044, 0.44232974100305, 0.4572253520018421, 0.4750935810006922, 0.49066284699802054, 0.5079473790028715, 0.5248225879986421, 0.5419399320016964, 0.5579426969998167, 0.5741742570025963, 0.5913108059976366, 0.6077313780042459, 0.6245707199996104, 0.6412776639990625, 0.6594656119996216, 0.675041770999087, 0.6914511680006399, 0.7075122309979633, 0.723890820001543, 0.7411310250026872, 0.7582383960034349, 0.7747999200000777, 0.7915134869981557, 0.8086783230028232, 0.824819302004471, 0.8408855939997011, 0.8573527800035663, 0.8743227899976773, 0.8911560519991326, 0.9092533029979677, 0.9242129870035569, 0.9410238810014562, 0.9578918570041424, 0.9754895490041235, 0.991256979003083, 1.0074165559999528, 1.0243782030011062, 1.041266706000897, 1.0576923280023038]",[],0.0075099448004039004,None,ECXXX,BXX,1,2021_Apr_21_1258,sequence,2020.2.9,60.153777475345535,
stimuli/2_bountiful_bm_004.wav,2,bountiful,mountiful,bm,4,2_bountiful_bm_004,wav,stimuli/,left,bountiful,mountiful,4,0,2,2,27,,,,,,,,,,,,,,,,,,,15.041544918801083,None,16.22498020999774,None,1.3750000000000007,1.2733618710044539,16.22498020999774,None,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.005555555555555556, -0.016666666666666666, -0.03222222222222222, -0.057777777777777775, -0.08777777777777777, -0.12222222222222222, -0.14555555555555555, -0.17, -0.19, -0.20444444444444446, -0.21444444444444444, -0.2222222222222222, -0.2288888888888889, -0.2311111111111111, -0.23333333333333334, -0.23555555555555555, -0.24, -0.24666666666666667, -0.25333333333333335, -0.26222222222222225, -0.27555555555555555, -0.2877777777777778, -0.30444444444444446, -0.3188888888888889, -0.33444444444444443, -0.3433333333333333, -0.3511111111111111, -0.35888888888888887, -0.3622222222222222, -0.36444444444444446, -0.3655555555555556, -0.36666666666666664, -0.36666666666666664, -0.36666666666666664, -0.36666666666666664, -0.36666666666666664, -0.36666666666666664, -0.36666666666666664, -0.36666666666666664, -0.36666666666666664, -0.36666666666666664, -0.36666666666666664, -0.36666666666666664, -0.36666666666666664, -0.36666666666666664, -0.36666666666666664, -0.36666666666666664]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0022222222222222222, -0.0044444444444444444, -0.006666666666666667, -0.006666666666666667, -0.006666666666666667, -0.006666666666666667, -0.006666666666666667, -0.006666666666666667, -0.006666666666666667, -0.006666666666666667, -0.006666666666666667, -0.006666666666666667, -0.005555555555555556, -0.005555555555555556, -0.0044444444444444444, -0.0033333333333333335, -0.0033333333333333335, -0.0022222222222222222, -0.0022222222222222222, 0.0011111111111111111, 0.0011111111111111111, 0.0022222222222222222, 0.0033333333333333335, 0.0033333333333333335, 0.005555555555555556, 0.005555555555555556, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0003384269948583096, 0.021574822996626608, 0.038183032993401866, 0.055464001998188905, 0.0715783220002777, 0.0889407289942028, 0.10559197899419814, 0.12163742899429053, 0.13825893099419773, 0.15570148999540834, 0.17234674999781419, 0.18920507899747463, 0.2053000969972345, 0.22185040199838113, 0.2392565789996297, 0.25427873699663905, 0.2709638949963846, 0.28805756499787094, 0.30468157999712275, 0.3208273099953658, 0.33930562799650943, 0.3551293269993039, 0.37136713200015947, 0.3880116559957969, 0.40456745799747296, 0.4214303389962879, 0.43785519099765224, 0.45494167099968763, 0.47227617299358826, 0.48846214099467034, 0.5052489659938146, 0.5216655349940993, 0.5380009669970605, 0.5548855559973163, 0.572482431998651, 0.5885973639960866, 0.6052895429966156, 0.6221915549976984, 0.6385326709932997, 0.6552979119951488, 0.6712630330002867, 0.6882294019960682, 0.7053065419968334, 0.7220797289992333, 0.7383993699986604, 0.7554689139942639, 0.7722196249960689, 0.7876877929957118, 0.8063925209935405, 0.8211102539935382, 0.8387589459962328, 0.8557657249984914, 0.8716692229936598, 0.8883053379977355, 0.905471892998321, 0.9220523569965735, 0.9380207689973759, 0.955051236996951, 0.9722859319954296, 0.9884458689994062, 1.0049488629956613, 1.0215750419956748, 1.0386017809942132, 1.0542844719966524, 1.0714491179969627, 1.088239139993675, 1.1047903959988616, 1.1217004029967939, 1.1380562349950196, 1.1545739579960355, 1.1718417819938622, 1.188105604996963, 1.2046124849948683, 1.2214333349984372, 1.2383148119988618, 1.2541086049968726, 1.271103838000272, 1.2887705059984]",[],0.004795907792868093,None,ECXXX,BXX,1,2021_Apr_21_1258,sequence,2020.2.9,60.153777475345535,
stimuli/2_mountains_bm_005.wav,2,mountains,bountains,bm,5,2_mountains_bm_005,wav,stimuli/,left,mountains,bountains,5,0,3,3,34,,,,,,,,,,,,,,,,,,,17.50876276780109,None,18.69179836499825,None,2.7750000000000004,0.8778568760026246,18.69179836499825,None,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0011111111111111111, -0.0044444444444444444, -0.012222222222222223, -0.023333333333333334, -0.04, -0.06222222222222222, -0.09, -0.11444444444444445, -0.13, -0.14888888888888888, -0.1811111111111111, -0.1988888888888889, -0.21, -0.2222222222222222, -0.23333333333333334, -0.2388888888888889, -0.2411111111111111, -0.24222222222222223, -0.24222222222222223, -0.24222222222222223, -0.24222222222222223, -0.24222222222222223, -0.24222222222222223, -0.24222222222222223]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0033333333333333335, -0.0044444444444444444, -0.006666666666666667, -0.0077777777777777776, -0.008888888888888889, -0.01, -0.014444444444444444, -0.017777777777777778, -0.02, -0.021111111111111112, -0.021111111111111112, -0.021111111111111112, -0.021111111111111112, -0.021111111111111112, -0.021111111111111112, -0.021111111111111112, -0.021111111111111112, -0.021111111111111112, -0.021111111111111112, -0.021111111111111112]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0003316650036140345, 0.009212557000864763, 0.025160293997032568, 0.041549788002157584, 0.05866361899825279, 0.07452974199986784, 0.09283383100409992, 0.10829532799834851, 0.12593408300017472, 0.14139200800127583, 0.15823218999867095, 0.17578291200334206, 0.1915068579983199, 0.20879801100090845, 0.22506562100170413, 0.24190486800216604, 0.25917948599817464, 0.2744265750006889, 0.29185123599745566, 0.3086064380040625, 0.3255133200000273, 0.34180072500021197, 0.3585863359985524, 0.3758841550006764, 0.39209483800368616, 0.4085268970011384, 0.4263140699986252, 0.44179656699998304, 0.4578822730036336, 0.47554379099892685, 0.4934123940038262, 0.5092200889994274, 0.5264887860030285, 0.5419311360019492, 0.5592916440000408, 0.5756653060016106, 0.5923264230004861, 0.6102652400004445, 0.6260183319973294, 0.6416749709969736, 0.6590000770011102, 0.6761498140040203, 0.6923711460040067, 0.709219429998484, 0.7253720759981661, 0.743209931999445, 0.7587309959999402, 0.7770718690007925, 0.7932976470037829, 0.8081225369969616, 0.8250289260031423, 0.842427329000202, 0.8592422450019512, 0.8762198000040371, 0.8919064700021408]",[],0.008304939801746514,None,ECXXX,BXX,1,2021_Apr_21_1258,sequence,2020.2.9,60.153777475345535,
stimuli/11_desolate_dn_003.wav,11,desolate,nesolate,dn,3,11_desolate_dn_003,wav,stimuli/,right,nesolate,desolate,2,0,4,4,2,,,,,,,,,,,,,,,,,,,19.5912461138003,None,20.62503850700159,None,9.85,1.0097547990008024,20.62503850700159,None,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05333333333333334, 0.1111111111111111, 0.15555555555555556, 0.19333333333333333, 0.2644444444444444, 0.29444444444444445, 0.32222222222222224, 0.34, 0.34555555555555556, 0.35, 0.3522222222222222, 0.35555555555555557, 0.36, 0.3688888888888889, 0.37555555555555553, 0.3811111111111111, 0.3844444444444444, 0.38666666666666666, 0.38666666666666666, 0.38666666666666666, 0.38666666666666666, 0.38666666666666666, 0.38666666666666666, 0.38666666666666666]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0022222222222222222, 0.0033333333333333335, 0.005555555555555556, 0.011111111111111112, 0.012222222222222223, 0.015555555555555555, 0.017777777777777778, 0.01888888888888889, 0.01888888888888889, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.01888888888888889, 0.01888888888888889, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0003690550001920201, 0.023801560993888415, 0.040704127997742034, 0.06986328499624506, 0.09068232799472753, 0.10798106899892446, 0.12290229999780422, 0.13976448199537117, 0.15705685599823482, 0.1734500409947941, 0.1920114559979993, 0.20665070499671856, 0.22416815999895334, 0.2403244819943211, 0.25749644600000465, 0.2735587299976032, 0.2906191969959764, 0.30786448899743846, 0.32322217999899294, 0.3421624199982034, 0.3565395740006352, 0.37357004299701657, 0.3906029599966132, 0.4075724770009401, 0.42354520799563034, 0.44034581299638376, 0.45745242099656025, 0.4734347329940647, 0.49000578800041694, 0.5068442379997578, 0.5237707909982419, 0.5401892849986325, 0.5572423699995852, 0.5731550969940145, 0.5894988869986264, 0.6068727649981156, 0.6238663909971365, 0.6405640259981737, 0.65794243599521, 0.674064749997342, 0.6904700179948122, 0.7071169359987834, 0.7238483909968636, 0.739710447996913, 0.7567887319964939, 0.7735130679939175, 0.7897351719948347, 0.8079578549950384, 0.8233644749998348, 0.8404660539963515, 0.8569868909980869, 0.8736150879994966, 0.8901373469998362, 0.9077018579992, 0.9236551039939513, 0.9406610639998689, 0.957183200000145, 0.9745147119974717, 0.9895312219960033, 1.0080412549941684, 1.0243165349966148]",[],0.007958826798130758,None,ECXXX,BXX,1,2021_Apr_21_1258,sequence,2020.2.9,60.153777475345535,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.642258648797725,None,,,,,,,,,,,,,,,,,,,,,,,
